# instance ta50, makespan 2000, lower bound 1833, best known 1923
# produced by open_backjump_300s run 2; recheck with verify_certificate.py
task;job;operation;machine;start;duration;completion
0;0;0;2;138;96;234
1;0;1;8;287;26;313
2;0;2;6;313;33;346
3;0;3;0;346;19;365
4;0;4;4;365;43;408
5;0;5;15;421;17;438
6;0;6;16;438;26;464
7;0;7;13;464;66;530
8;0;8;5;557;84;641
9;0;9;12;772;56;828
10;0;10;10;828;83;911
11;0;11;7;911;66;977
12;0;12;14;1049;74;1123
13;0;13;19;1199;24;1223
14;0;14;1;1233;85;1318
15;0;15;3;1331;47;1378
16;0;16;18;1378;88;1466
17;0;17;17;1509;97;1606
18;0;18;9;1725;41;1766
19;0;19;11;1766;77;1843
20;1;0;0;90;70;160
21;1;1;10;198;46;244
22;1;2;13;244;90;334
23;1;3;3;438;61;499
24;1;4;2;504;24;528
25;1;5;7;528;63;591
26;1;6;1;597;95;692
27;1;7;16;698;34;732
28;1;8;9;816;47;863
29;1;9;17;871;50;921
30;1;10;18;988;62;1050
31;1;11;15;1051;10;1061
32;1;12;11;1167;66;1233
33;1;13;8;1233;52;1285
34;1;14;19;1444;49;1493
35;1;15;5;1493;4;1497
36;1;16;4;1583;94;1677
37;1;17;12;1780;38;1818
38;1;18;14;1818;93;1911
39;1;19;6;1911;84;1995
40;2;0;0;160;48;208
41;2;1;19;322;60;382
42;2;2;11;404;15;419
43;2;3;9;420;25;445
44;2;4;15;445;21;466
45;2;5;3;514;99;613
46;2;6;13;613;56;669
47;2;7;18;669;32;701
48;2;8;1;701;31;732
49;2;9;5;966;36;1002
50;2;10;7;1042;74;1116
51;2;11;6;1149;72;1221
52;2;12;10;1261;91;1352
53;2;13;4;1363;29;1392
54;2;14;14;1492;34;1526
55;2;15;8;1718;50;1768
56;2;16;12;1818;21;1839
57;2;17;2;1839;36;1875
58;2;18;16;1875;1;1876
59;2;19;17;1880;30;1910
60;3;0;7;0;50;50
61;3;1;19;50;84;134
62;3;2;10;323;74;397
63;3;3;11;419;35;454
64;3;4;9;454;86;540
65;3;5;14;598;42;640
66;3;6;6;640;31;671
67;3;7;12;710;62;772
68;3;8;16;783;82;865
69;3;9;13;882;66;948
70;3;10;5;1002;39;1041
71;3;11;15;1071;48;1119
72;3;12;4;1119;98;1217
73;3;13;3;1232;99;1331
74;3;14;17;1341;48;1389
75;3;15;8;1526;77;1603
76;3;16;1;1603;31;1634
77;3;17;18;1682;51;1733
78;3;18;2;1733;44;1777
79;3;19;0;1777;41;1818
80;4;0;0;0;90;90
81;4;1;6;98;27;125
82;4;2;11;125;30;155
83;4;3;1;155;68;223
84;4;4;3;223;25;248
85;4;5;16;321;94;415
86;4;6;19;418;66;484
87;4;7;12;600;48;648
88;4;8;10;669;47;716
89;4;9;7;716;16;732
90;4;10;5;805;90;895
91;4;11;2;936;23;959
92;4;12;15;970;5;975
93;4;13;4;975;3;978
94;4;14;18;978;10;988
95;4;15;14;988;37;1025
96;4;16;9;1025;74;1099
97;4;17;8;1099;28;1127
98;4;18;13;1127;25;1152
99;4;19;17;1152;86;1238
100;5;0;17;0;32;32
101;5;1;8;32;76;108
102;5;2;19;226;29;255
103;5;3;16;261;60;321
104;5;4;0;510;60;570
105;5;5;12;579;21;600
106;5;6;13;600;2;602
107;5;7;14;720;65;785
108;5;8;3;785;22;807
109;5;9;2;825;36;861
110;5;10;1;880;80;960
111;5;11;10;1009;61;1070
112;5;12;7;1116;55;1171
113;5;13;9;1171;84;1255
114;5;14;15;1260;99;1359
115;5;15;4;1392;25;1417
116;5;16;6;1417;68;1485
117;5;17;11;1489;80;1569
118;5;18;18;1615;67;1682
119;5;19;5;1825;50;1875
120;6;0;18;0;90;90
121;6;1;1;110;9;119
122;6;2;9;119;28;147
123;6;3;11;201;38;239
124;6;4;17;239;36;275
125;6;5;0;365;19;384
126;6;6;2;500;4;504
127;6;7;6;504;46;550
128;6;8;16;865;84;949
129;6;9;10;1162;71;1233
130;6;10;4;1233;60;1293
131;6;11;14;1320;23;1343
132;6;12;19;1355;63;1418
133;6;13;12;1450;77;1527
134;6;14;15;1546;72;1618
135;6;15;7;1649;2;1651
136;6;16;3;1738;63;1801
137;6;17;5;1801;24;1825
138;6;18;8;1825;60;1885
139;6;19;13;1885;99;1984
140;7;0;14;338;96;434
141;7;1;9;540;78;618
142;7;2;11;618;79;697
143;7;3;8;783;90;873
144;7;4;2;873;63;936
145;7;5;16;949;80;1029
146;7;6;4;1065;10;1075
147;7;7;1;1122;2;1124
148;7;8;19;1132;67;1199
149;7;9;6;1221;96;1317
150;7;10;0;1317;69;1386
151;7;11;7;1386;13;1399
152;7;12;15;1400;42;1442
153;7;13;18;1466;54;1520
154;7;14;12;1527;76;1603
155;7;15;17;1670;32;1702
156;7;16;13;1704;75;1779
157;7;17;3;1823;52;1875
158;7;18;5;1879;98;1977
159;7;19;10;1977;16;1993
160;8;0;3;0;31;31
161;8;1;14;31;80;111
162;8;2;9;180;77;257
163;8;3;0;384;56;440
164;8;4;11;810;85;895
165;8;5;10;911;95;1006
166;8;6;4;1006;59;1065
167;8;7;12;1065;46;1111
168;8;8;5;1139;4;1143
169;8;9;16;1246;85;1331
170;8;10;2;1334;42;1376
171;8;11;1;1384;14;1398
172;8;12;13;1400;4;1404
173;8;13;7;1404;40;1444
174;8;14;17;1469;40;1509
175;8;15;19;1602;48;1650
176;8;16;6;1727;90;1817
177;8;17;18;1817;82;1899
178;8;18;8;1899;4;1903
179;8;19;15;1913;87;2000
180;9;0;13;0;3;3
181;9;1;7;77;53;130
182;9;2;9;147;33;180
183;9;3;0;253;93;346
184;9;4;3;366;62;428
185;9;5;8;432;17;449
186;9;6;11;495;65;560
187;9;7;4;573;23;596
188;9;8;5;641;10;651
189;9;9;14;676;44;720
190;9;10;15;720;49;769
191;9;11;6;769;2;771
192;9;12;2;771;54;825
193;9;13;17;846;25;871
194;9;14;1;1318;42;1360
195;9;15;10;1360;57;1417
196;9;16;19;1493;23;1516
197;9;17;18;1520;16;1536
198;9;18;16;1599;76;1675
199;9;19;12;1675;12;1687
200;10;0;4;0;68;68
201;10;1;17;68;54;122
202;10;2;2;425;75;500
203;10;3;8;514;29;543
204;10;4;11;560;29;589
205;10;5;19;589;98;687
206;10;6;18;701;17;718
207;10;7;13;718;4;722
208;10;8;12;828;10;838
209;10;9;3;883;71;954
210;10;10;1;960;26;986
211;10;11;10;1006;3;1009
212;10;12;5;1041;51;1092
213;10;13;15;1119;79;1198
214;10;14;14;1199;30;1229
215;10;15;9;1347;58;1405
216;10;16;16;1405;76;1481
217;10;17;6;1533;81;1614
218;10;18;7;1683;63;1746
219;10;19;0;1851;60;1911
220;11;0;6;0;98;98
221;11;1;0;208;6;214
222;11;2;12;218;66;284
223;11;3;18;284;53;337
224;11;4;1;337;60;397
225;11;5;14;434;93;527
226;11;6;19;527;52;579
227;11;7;16;589;68;657
228;11;8;10;716;81;797
229;11;9;8;873;51;924
230;11;10;17;924;85;1009
231;11;11;11;1009;74;1083
232;11;12;2;1083;12;1095
233;11;13;13;1205;23;1228
234;11;14;7;1228;43;1271
235;11;15;4;1417;98;1515
236;11;16;5;1515;26;1541
237;11;17;15;1646;51;1697
238;11;18;3;1801;22;1823
239;11;19;9;1823;26;1849
240;12;0;2;0;90;90
241;12;1;7;130;35;165
242;12;2;13;165;76;241
243;12;3;0;246;7;253
244;12;4;19;255;67;322
245;12;5;4;349;10;359
246;12;6;9;379;41;420
247;12;7;11;454;41;495
248;12;8;16;545;18;563
249;12;9;3;613;41;654
250;12;10;5;717;35;752
251;12;11;6;752;13;765
252;12;12;14;785;30;815
253;12;13;18;815;28;843
254;12;14;12;843;32;875
255;12;15;15;875;95;970
256;12;16;10;1070;92;1162
257;12;17;1;1162;71;1233
258;12;18;17;1238;76;1314
259;12;19;8;1603;78;1681
260;13;0;14;0;31;31
261;13;1;3;73;64;137
262;13;2;6;176;21;197
263;13;3;7;234;72;306
264;13;4;8;313;78;391
265;13;5;12;391;88;479
266;13;6;15;479;4;483
267;13;7;5;483;74;557
268;13;8;16;563;26;589
269;13;9;4;596;11;607
270;13;10;0;607;41;648
