# instance ta47, makespan 1954, lower bound 1807, best known 1889
# produced by open_backjump_300s run 4; recheck with verify_certificate.py
task;job;operation;machine;start;duration;completion
0;0;0;11;53;66;119
1;0;1;19;119;38;157
2;0;2;16;157;15;172
3;0;3;7;204;7;211
4;0;4;12;217;93;310
5;0;5;1;310;57;367
6;0;6;10;682;92;774
7;0;7;8;829;56;885
8;0;8;6;950;93;1043
9;0;9;18;1043;60;1103
10;0;10;2;1103;40;1143
11;0;11;13;1143;74;1217
12;0;12;17;1232;59;1291
13;0;13;14;1309;72;1381
14;0;14;0;1383;21;1404
15;0;15;3;1527;24;1551
16;0;16;15;1566;24;1590
17;0;17;4;1617;57;1674
18;0;18;5;1674;74;1748
19;0;19;9;1823;69;1892
20;1;0;4;117;88;205
21;1;1;19;229;70;299
22;1;2;8;299;42;341
23;1;3;17;528;14;542
24;1;4;0;542;66;608
25;1;5;5;608;8;616
26;1;6;1;616;32;648
27;1;7;6;658;77;735
28;1;8;11;748;11;759
29;1;9;12;759;30;789
30;1;10;10;801;48;849
31;1;11;13;871;97;968
32;1;12;2;1011;89;1100
33;1;13;3;1129;82;1211
34;1;14;15;1211;81;1292
35;1;15;18;1292;89;1381
36;1;16;16;1426;76;1502
37;1;17;7;1765;87;1852
38;1;18;14;1852;44;1896
39;1;19;9;1919;26;1945
40;2;0;19;11;53;64
41;2;1;10;107;82;189
42;2;2;14;230;37;267
43;2;3;11;351;85;436
44;2;4;3;461;31;492
45;2;5;2;547;81;628
46;2;6;13;673;24;697
47;2;7;1;835;67;902
48;2;8;0;927;3;930
49;2;9;12;930;12;942
50;2;10;9;942;8;950
51;2;11;18;955;72;1027
52;2;12;4;1316;87;1403
53;2;13;5;1403;69;1472
54;2;14;16;1538;19;1557
55;2;15;17;1559;35;1594
56;2;16;7;1596;97;1693
57;2;17;6;1731;46;1777
58;2;18;8;1807;73;1880
59;2;19;15;1888;12;1900
60;3;0;2;107;31;138
61;3;1;15;209;50;259
62;3;2;6;302;74;376
63;3;3;19;376;12;388
64;3;4;17;410;52;462
65;3;5;14;462;89;551
66;3;6;12;551;67;618
67;3;7;13;621;52;673
68;3;8;1;706;21;727
69;3;9;11;737;11;748
70;3;10;5;786;31;817
71;3;11;4;858;69;927
72;3;12;9;950;35;985
73;3;13;16;1009;99;1108
74;3;14;18;1184;24;1208
75;3;15;10;1356;93;1449
76;3;16;8;1449;87;1536
77;3;17;7;1536;15;1551
78;3;18;0;1573;20;1593
79;3;19;3;1731;66;1797
80;4;0;17;77;14;91
81;4;1;8;91;90;181
82;4;2;10;189;14;203
83;4;3;16;215;68;283
84;4;4;19;336;6;342
85;4;5;4;454;79;533
86;4;6;2;533;14;547
87;4;7;6;585;15;600
88;4;8;0;608;17;625
89;4;9;3;682;68;750
90;4;10;9;909;19;928
91;4;11;12;942;46;988
92;4;12;11;1208;72;1280
93;4;13;7;1365;33;1398
94;4;14;1;1446;20;1466
95;4;15;15;1484;12;1496
96;4;16;14;1645;56;1701
97;4;17;13;1784;97;1881
98;4;18;18;1881;26;1907
99;4;19;5;1907;36;1943
100;5;0;5;0;71;71
101;5;1;6;90;95;185
102;5;2;13;185;2;187
103;5;3;10;203;81;284
104;5;4;19;388;93;481
105;5;5;16;481;21;502
106;5;6;9;502;98;600
107;5;7;8;665;64;729
108;5;8;15;764;30;794
109;5;9;12;807;40;847
110;5;10;4;927;67;994
111;5;11;7;1164;65;1229
112;5;12;14;1293;16;1309
113;5;13;11;1309;33;1342
114;5;14;17;1342;51;1393
115;5;15;3;1461;49;1510
116;5;16;18;1611;68;1679
117;5;17;2;1679;89;1768
118;5;18;0;1773;92;1865
119;5;19;1;1893;35;1928
120;6;0;2;0;28;28
121;6;1;19;64;33;97
122;6;2;4;266;81;347
123;6;3;8;347;94;441
124;6;4;9;441;11;452
125;6;5;6;735;61;796
126;6;6;7;860;36;896
127;6;7;5;903;33;936
128;6;8;11;950;92;1042
129;6;9;1;1042;83;1125
130;6;10;13;1125;14;1139
131;6;11;14;1196;97;1293
132;6;12;17;1293;36;1329
133;6;13;18;1458;61;1519
134;6;14;10;1519;72;1591
135;6;15;3;1598;65;1663
136;6;16;12;1697;26;1723
137;6;17;16;1755;14;1769
138;6;18;0;1769;4;1773
139;6;19;15;1808;80;1888
140;7;0;16;3;70;73
141;7;1;7;73;96;169
142;7;2;1;169;35;204
143;7;3;6;428;11;439
144;7;4;5;445;99;544
145;7;5;12;618;83;701
146;7;6;4;819;39;858
147;7;7;10;924;43;967
148;7;8;14;967;87;1054
149;7;9;15;1128;19;1147
150;7;10;8;1168;14;1182
151;7;11;18;1246;46;1292
152;7;12;0;1292;91;1383
153;7;13;3;1510;17;1527
154;7;14;9;1569;32;1601
155;7;15;11;1601;32;1633
156;7;16;17;1633;38;1671
157;7;17;13;1738;46;1784
158;7;18;19;1824;96;1920
159;7;19;2;1920;22;1942
160;8;0;12;40;69;109
161;8;1;0;321;36;357
162;8;2;2;438;8;446
163;8;3;4;589;21;610
164;8;4;1;610;2;612
165;8;5;6;626;32;658
166;8;6;14;683;75;758
167;8;7;16;758;81;839
168;8;8;19;844;47;891
169;8;9;3;940;64;1004
170;8;10;17;1004;80;1084
171;8;11;5;1084;75;1159
172;8;12;11;1159;49;1208
173;8;13;8;1208;41;1249
174;8;14;9;1249;82;1331
175;8;15;10;1331;25;1356
176;8;16;13;1362;89;1451
177;8;17;15;1451;33;1484
178;8;18;7;1484;29;1513
179;8;19;18;1907;47;1954
180;9;0;6;293;9;302
181;9;1;17;374;36;410
182;9;2;13;488;22;510
183;9;3;19;513;59;572
184;9;4;16;572;32;604
185;9;5;18;632;33;665
186;9;6;11;665;72;737
187;9;7;10;774;27;801
188;9;8;3;895;45;940
189;9;9;2;992;19;1011
190;9;10;14;1054;49;1103
191;9;11;8;1133;35;1168
192;9;12;5;1221;57;1278
193;9;13;7;1278;87;1365
194;9;14;15;1365;59;1424
195;9;15;9;1424;49;1473
196;9;16;12;1482;83;1565
197;9;17;4;1565;52;1617
198;9;18;0;1626;66;1692
199;9;19;1;1696;61;1757
200;10;0;12;0;24;24
201;10;1;18;34;53;87
202;10;2;11;234;61;295
203;10;3;7;344;31;375
204;10;4;17;542;14;556
205;10;5;10;569;19;588
206;10;6;6;600;26;626
207;10;7;9;626;91;717
208;10;8;3;750;53;803
209;10;9;19;803;41;844
210;10;10;14;844;77;921
211;10;11;1;929;66;995
212;10;12;4;1431;81;1512
213;10;13;15;1512;32;1544
214;10;14;0;1544;29;1573
215;10;15;2;1580;83;1663
216;10;16;13;1709;13;1722
217;10;17;5;1748;31;1779
218;10;18;8;1801;6;1807
219;10;19;16;1932;21;1953
220;11;0;0;106;45;151
221;11;1;18;151;89;240
222;11;2;11;295;29;324
223;11;3;3;324;7;331
224;11;4;15;401;47;448
225;11;5;10;522;47;569
226;11;6;5;688;25;713
227;11;7;4;774;45;819
228;11;8;7;896;60;956
229;11;9;13;968;28;996
230;11;10;8;1050;83;1133
231;11;11;19;1133;68;1201
232;11;12;17;1220;12;1232
233;11;13;2;1433;37;1470
234;11;14;14;1478;69;1547
235;11;15;1;1549;46;1595
236;11;16;6;1595;47;1642
237;11;17;16;1664;91;1755
238;11;18;9;1803;20;1823
239;11;19;12;1823;45;1868
240;12;0;3;11;23;34
241;12;1;4;211;55;266
242;12;2;7;284;60;344
243;12;3;6;376;52;428
244;12;4;5;428;17;445
245;12;5;15;484;75;559
246;12;6;8;611;54;665
247;12;7;13;697;76;773
248;12;8;17;793;35;828
249;12;9;12;847;61;908
250;12;10;9;985;51;1036
251;12;11;10;1103;84;1187
252;12;12;18;1208;38;1246
253;12;13;2;1246;94;1340
254;12;14;14;1381;30;1411
255;12;15;0;1411;14;1425
256;12;16;11;1434;78;1512
257;12;17;1;1595;29;1624
258;12;18;19;1668;99;1767
259;12;19;16;1769;88;1857
260;13;0;5;71;14;85
261;13;1;12;109;22;131
262;13;2;14;131;99;230
263;13;3;6;234;59;293
264;13;4;3;372;89;461
265;13;5;10;470;44;514
266;13;6;13;523;98;621
267;13;7;7;635;56;691
268;13;8;8;778;22;800
269;13;9;17;828;33;861
270;13;10;15;868;41;909
271;13;11;18;909;46;955
272;13;12;4;994;65;1059
273;13;13;0;1155;85;1240
274;13;14;1;1240;38;1278
275;13;15;16;1423;3;1426
276;13;16;9;1473;19;1492
277;13;17;11;1512;39;1551
278;13;18;2;1551;5;1556
279;13;19;19;1596;72;1668
280;14;0;7;0;12;12
281;14;1;4;427;27;454
282;14;2;10;462;8;470
283;14;3;13;510;13;523
284;14;4;11;596;26;622
285;14;5;16;622;35;657
286;14;6;18;665;33;698
287;14;7;12;701;49;750
288;14;8;8;800;29;829
289;14;9;15;829;39;868
290;14;10;19;891;37;928
291;14;11;1;928;1;929
292;14;12;0;930;74;1004
293;14;13;17;1084;22;1106
294;14;14;2;1180;38;1218
295;14;15;3;1272;31;1303
296;14;16;9;1331;6;1337
297;14;17;14;1547;98;1645
298;14;18;6;1645;86;1731
299;14;19;5;1782;69;1851
300;15;0;0;0;72;72
301;15;1;17;91;74;165
302;15;2;4;205;6;211
303;15;3;15;259;58;317
304;15;4;11;324;27;351
305;15;5;3;351;21;372
306;15;6;14;372;19;391
307;15;7;13;391;97;488
308;15;8;10;514;8;522
309;15;9;7;522;70;592
310;15;10;8;729;49;778
311;15;11;1;810;25;835
312;15;12;9;870;39;909
313;15;13;16;914;95;1009
314;15;14;5;1009;71;1080
315;15;15;18;1103;81;1184
316;15;16;12;1184;88;1272
317;15;17;6;1323;11;1334
318;15;18;19;1334;93;1427
319;15;19;2;1470;71;1541
320;16;0;19;0;11;11
321;16;1;1;52;82;134
322;16;2;11;152;82;234
323;16;3;17;234;80;314
324;16;4;5;353;74;427
325;16;5;18;481;60;541
326;16;6;7;592;43;635
327;16;7;10;849;75;924
328;16;8;12;924;4;928
329;16;9;2;928;64;992
330;16;10;0;1004;52;1056
331;16;11;3;1056;73;1129
332;16;12;4;1151;77;1228
333;16;13;13;1282;80;1362
334;16;14;6;1362;89;1451
335;16;15;8;1537;66;1603
336;16;16;16;1636;28;1664
337;16;17;9;1664;62;1726
338;16;18;15;1726;82;1808
339;16;19;14;1808;42;1850
340;17;0;3;0;11;11
341;17;1;12;24;16;40
342;17;2;1;40;12;52
343;17;3;15;52;72;124
344;17;4;7;169;35;204
345;17;5;6;867;83;950
346;17;6;8;977;73;1050
347;17;7;9;1050;41;1091
348;17;8;13;1091;23;1114
