# instance ta25, makespan 1622, lower bound 1558, best known 1595
# produced by open_backjump_300s run 1; recheck with verify_certificate.py
task;job;operation;machine;start;duration;completion
0;0;0;9;171;14;185
1;0;1;6;296;62;358
2;0;2;2;358;32;390
3;0;3;14;400;81;481
4;0;4;18;481;65;546
5;0;5;13;546;53;599
6;0;6;0;599;31;630
7;0;7;1;635;98;733
8;0;8;10;739;34;773
9;0;9;19;773;27;800
10;0;10;17;800;60;860
11;0;11;16;860;43;903
12;0;12;11;928;30;958
13;0;13;15;958;24;982
14;0;14;7;982;61;1043
15;0;15;8;1094;40;1134
16;0;16;12;1134;7;1141
17;0;17;4;1141;15;1156
18;0;18;5;1156;50;1206
19;0;19;3;1250;10;1260
20;1;0;10;0;12;12
21;1;1;5;12;42;54
22;1;2;17;64;69;133
23;1;3;19;191;12;203
24;1;4;4;203;84;287
25;1;5;11;310;24;334
26;1;6;9;387;87;474
27;1;7;12;474;69;543
28;1;8;0;543;45;588
29;1;9;7;588;37;625
30;1;10;8;625;38;663
31;1;11;15;683;72;755
32;1;12;1;813;54;867
33;1;13;6;867;66;933
34;1;14;13;968;45;1013
35;1;15;14;1013;4;1017
36;1;16;2;1175;61;1236
37;1;17;3;1291;20;1311
38;1;18;16;1439;49;1488
39;1;19;18;1514;17;1531
40;2;0;6;93;60;153
41;2;1;8;153;45;198
42;2;2;19;203;34;237
43;2;3;10;261;74;335
44;2;4;14;335;65;400
45;2;5;5;431;75;506
46;2;6;4;506;92;598
47;2;7;17;620;69;689
48;2;8;2;691;40;731
49;2;9;11;731;26;757
50;2;10;15;757;69;826
51;2;11;0;826;30;856
52;2;12;7;856;18;874
53;2;13;3;887;88;975
54;2;14;1;1202;49;1251
55;2;15;13;1315;68;1383
56;2;16;9;1383;25;1408
57;2;17;12;1456;1;1457
58;2;18;16;1488;95;1583
59;2;19;18;1583;25;1608
60;3;0;11;171;77;248
61;3;1;4;287;61;348
62;3;2;17;351;42;393
63;3;3;15;393;65;458
64;3;4;8;498;99;597
65;3;5;13;713;81;794
66;3;6;9;804;84;888
67;3;7;6;933;33;966
68;3;8;16;991;8;999
69;3;9;19;1006;21;1027
70;3;10;0;1027;26;1053
71;3;11;7;1053;58;1111
