# instance ta32, makespan 1835, lower bound 1774, best known 1784
# produced by open_baseline_300s run 5; recheck with verify_certificate.py
task;job;operation;machine;start;duration;completion
0;0;0;13;0;79;79
1;0;1;0;79;31;110
2;0;2;10;159;42;201
3;0;3;2;201;88;289
4;0;4;12;354;16;370
5;0;5;8;370;99;469
6;0;6;5;512;82;594
7;0;7;6;608;53;661
8;0;8;4;678;29;707
9;0;9;14;707;49;756
10;0;10;1;819;9;828
11;0;11;11;966;15;981
12;0;12;9;1091;92;1183
13;0;13;3;1504;73;1577
14;0;14;7;1594;98;1692
15;1;0;7;0;76;76
16;1;1;3;525;89;614
17;1;2;0;619;48;667
18;1;3;12;667;15;682
19;1;4;13;798;54;852
20;1;5;14;852;37;889
21;1;6;8;892;53;945
22;1;7;1;1011;63;1074
23;1;8;10;1096;44;1140
24;1;9;4;1196;91;1287
25;1;10;11;1303;13;1316
26;1;11;2;1316;73;1389
27;1;12;6;1399;42;1441
28;1;13;9;1562;99;1661
29;1;14;5;1661;41;1702
30;2;0;12;47;49;96
31;2;1;14;192;52;244
32;2;2;10;278;25;303
33;2;3;1;303;89;392
34;2;4;13;469;3;472
35;2;5;5;738;2;740
36;2;6;3;900;40;940
37;2;7;11;981;44;1025
38;2;8;6;1305;94;1399
39;2;9;2;1399;7;1406
40;2;10;4;1453;68;1521
41;2;11;7;1521;73;1594
42;2;12;8;1648;73;1721
43;2;13;0;1721;30;1751
44;2;14;9;1816;14;1830
45;3;0;14;82;28;110
46;3;1;13;125;49;174
47;3;2;1;254;13;267
48;3;3;12;267;87;354
49;3;4;7;406;62;468
50;3;5;0;540;10;550
51;3;6;4;629;29;658
52;3;7;5;804;62;866
53;3;8;3;866;34;900
54;3;9;2;909;7;916
55;3;10;6;926;47;973
56;3;11;8;986;40;1026
57;3;12;11;1081;57;1138
58;3;13;10;1140;80;1220
59;3;14;9;1220;86;1306
60;4;0;7;76;39;115
61;4;1;5;125;12;137
62;4;2;1;151;34;185
63;4;3;3;207;91;298
64;4;4;8;298;48;346
65;4;5;12;370;71;441
66;4;6;2;446;45;491
67;4;7;13;491;98;589
68;4;8;0;667;23;690
69;4;9;4;707;91;798
70;4;10;6;836;90;926
71;4;11;10;1055;41;1096
72;4;12;11;1138;90;1228
73;4;13;14;1228;54;1282
74;4;14;9;1399;87;1486
75;5;0;11;238;30;268
76;5;1;5;291;63;354
77;5;2;4;423;57;480
78;5;3;14;585;36;621
79;5;4;10;640;72;712
80;5;5;3;1172;54;1226
81;5;6;0;1226;69;1295
82;5;7;9;1306;9;1315
83;5;8;7;1329;53;1382
84;5;9;12;1414;72;1486
85;5;10;6;1509;68;1577
86;5;11;2;1577;33;1610
87;5;12;13;1655;61;1716
88;5;13;8;1721;12;1733
89;5;14;1;1746;89;1835
90;6;0;5;5;65;70
91;6;1;8;70;40;110
92;6;2;12;129;34;163
93;6;3;9;247;37;284
94;6;4;3;316;64;380
95;6;5;2;384;62;446
96;6;6;14;453;14;467
97;6;7;4;480;78;558
98;6;8;1;622;1;623
99;6;9;13;858;65;923
100;6;10;7;923;2;925
101;6;11;0;948;67;1015
102;6;12;11;1025;56;1081
103;6;13;6;1577;75;1652
104;6;14;10;1671;26;1697
105;7;0;7;115;22;137
106;7;1;14;261;98;359
107;7;2;5;445;67;512
108;7;3;9;616;56;672
109;7;4;3;689;41;730
110;7;5;1;730;89;819
111;7;6;4;875;25;900
112;7;7;10;961;94;1055
113;7;8;12;1056;76;1132
114;7;9;2;1170;37;1207
115;7;10;6;1207;8;1215
116;7;11;13;1215;84;1299
117;7;12;11;1327;73;1400
118;7;13;0;1475;65;1540
119;7;14;8;1574;74;1648
120;8;0;10;115;44;159
121;8;1;14;497;33;530
122;8;2;6;567;41;608
123;8;3;5;866;52;918
124;8;4;13;1002;86;1088
125;8;5;12;1132;11;1143
126;8;6;3;1226;60;1286
127;8;7;8;1286;87;1373
128;8;8;0;1373;13;1386
129;8;9;7;1386;40;1426
130;8;10;2;1426;62;1488
131;8;11;9;1488;47;1535
132;8;12;4;1537;39;1576
133;8;13;11;1586;65;1651
134;8;14;1;1669;77;1746
135;9;0;6;0;88;88
136;9;1;5;94;31;125
137;9;2;4;125;63;188
138;9;3;3;730;49;779
139;9;4;12;779;50;829
140;9;5;14;889;77;966
141;9;6;7;966;6;972
142;9;7;9;1011;80;1091
143;9;8;1;1156;20;1176
144;9;9;13;1176;30;1206
145;9;10;11;1316;11;1327
146;9;11;8;1373;41;1414
147;9;12;2;1488;43;1531
148;9;13;0;1613;74;1687
149;9;14;10;1697;73;1770
150;10;0;5;77;7;84
151;10;1;1;185;69;254
152;10;2;0;254;69;323
153;10;3;11;364;53;417
154;10;4;13;417;52;469
155;10;5;6;469;33;502
156;10;6;12;512;19;531
157;10;7;7;589;84;673
158;10;8;2;673;12;685
159;10;9;9;821;36;857
160;10;10;3;1286;85;1371
161;10;11;4;1379;74;1453
162;10;12;10;1475;2;1477
163;10;13;8;1477;97;1574
164;10;14;14;1713;52;1765
165;11;0;12;96;33;129
166;11;1;13;174;8;182
167;11;2;0;323;74;397
168;11;3;3;614;75;689
169;11;4;2;689;51;740
170;11;5;5;740;64;804
171;11;6;10;826;55;881
172;11;7;11;889;7;896
173;11;8;4;900;81;981
174;11;9;1;1074;82;1156
175;11;10;7;1164;70;1234
176;11;11;14;1282;33;1315
177;11;12;9;1315;84;1399
178;11;13;6;1441;37;1478
179;11;14;8;1733;48;1781
180;12;0;11;0;54;54
181;12;1;0;110;97;207
182;12;2;9;284;79;363
183;12;3;12;441;71;512
184;12;4;7;673;70;743
185;12;5;2;825;84;909
186;12;6;13;923;28;951
187;12;7;8;951;14;965
188;12;8;5;965;20;985
189;12;9;4;1006;99;1105
190;12;10;3;1371;6;1377
191;12;11;1;1399;30;1429
192;12;12;14;1495;51;1546
193;12;13;6;1720;68;1788
194;12;14;10;1788;41;1829
195;13;0;5;84;10;94
196;13;1;8;110;90;200
197;13;2;13;200;14;214
198;13;3;10;343;72;415
199;13;4;14;467;30;497
200;13;5;7;512;77;589
201;13;6;9;672;69;741
202;13;7;0;741;56;797
203;13;8;12;829;78;907
204;13;9;2;916;55;971
205;13;10;6;973;98;1071
206;13;11;4;1105;91;1196
207;13;12;11;1400;27;1427
208;13;13;3;1468;36;1504
209;13;14;1;1583;86;1669
210;14;0;9;0;92;92
211;14;1;3;110;97;207
212;14;2;10;207;71;278
213;14;3;5;278;13;291
214;14;4;2;291;93;384
215;14;5;6;403;65;468
216;14;6;7;468;44;512
217;14;7;11;512;46;558
218;14;8;4;558;71;629
219;14;9;1;654;69;723
220;14;10;12;740;26;766
221;14;11;13;780;18;798
222;14;12;14;798;31;829
223;14;13;8;882;10;892
224;14;14;0;1015;47;1062
225;15;0;1;75;47;122
226;15;1;7;137;5;142
227;15;2;2;147;14;161
228;15;3;5;193;47;240
229;15;4;6;288;81;369
230;15;5;9;369;84;453
231;15;6;10;453;62;515
232;15;7;8;521;91;612
233;15;8;14;640;5;645
234;15;9;11;645;58;703
235;15;10;4;798;77;875
236;15;11;12;907;55;962
237;15;12;0;1145;49;1194
238;15;13;3;1407;5;1412
239;15;14;13;1412;5;1417
240;16;0;13;79;46;125
241;16;1;11;268;96;364
242;16;2;5;384;61;445
243;16;3;2;510;67;577
244;16;4;0;617;2;619
245;16;5;6;738;9;747
246;16;6;8;747;94;841
247;16;7;9;857;38;895
248;16;8;10;895;66;961
249;16;9;4;981;25;1006
250;16;10;7;1006;67;1073
251;16;11;1;1243;57;1300
252;16;12;12;1305;79;1384
253;16;13;14;1546;74;1620
254;16;14;3;1625;47;1672
255;17;0;9;173;74;247
256;17;1;8;469;52;521
257;17;2;1;521;50;571
258;17;3;10;597;43;640
259;17;4;3;940;93;1033
260;17;5;2;1037;30;1067
261;17;6;6;1091;85;1176
262;17;7;11;1228;75;1303
263;17;8;0;1303;58;1361
264;17;9;7;1426;47;1473
265;17;10;5;1473;70;1543
266;17;11;12;1543;42;1585
