# instance ta03, makespan 1218, lower bound 1218, best known 1218
# produced by conf_bj_j3_b5_60s run 5; recheck with verify_certificate.py
task;job;operation;machine;start;duration;completion
0;0;0;7;0;69;69
1;0;1;11;69;81;150
2;0;2;8;220;81;301
3;0;3;3;301;62;363
4;0;4;12;372;80;452
5;0;5;1;467;3;470
6;0;6;13;470;38;508
7;0;7;0;526;62;588
8;0;8;14;588;54;642
9;0;9;6;693;66;759
10;0;10;9;760;88;848
11;0;11;4;910;82;992
12;0;12;2;992;3;995
13;0;13;10;995;12;1007
14;0;14;5;1007;88;1095
15;1;0;12;0;83;83
16;1;1;1;171;51;222
17;1;2;11;234;47;281
18;1;3;9;289;15;304
19;1;4;6;342;89;431
20;1;5;3;431;76;507
21;1;6;2;507;52;559
22;1;7;4;670;18;688
23;1;8;5;688;22;710
24;1;9;8;732;85;817
25;1;10;13;819;26;845
26;1;11;14;845;30;875
27;1;12;10;875;5;880
28;1;13;0;880;89;969
29;1;14;7;1041;22;1063
30;2;0;1;0;62;62
31;2;1;2;62;47;109
32;2;2;9;109;93;202
33;2;3;0;202;54;256
34;2;4;3;256;38;294
35;2;5;5;298;78;376
36;2;6;8;376;71;447
37;2;7;4;447;96;543
38;2;8;14;556;19;575
39;2;9;10;618;33;651
40;2;10;12;651;44;695
41;2;11;13;695;71;766
42;2;12;7;766;90;856
43;2;13;6;1041;9;1050
44;2;14;11;1050;21;1071
45;3;0;13;0;33;33
46;3;1;10;33;82;115
47;3;2;6;115;80;195
48;3;3;2;204;30;234
49;3;4;14;273;96;369
50;3;5;7;369;31;400
51;3;6;4;400;11;411
52;3;7;11;422;26;448
53;3;8;0;485;41;526
54;3;9;5;532;55;587
55;3;10;9;587;12;599
56;3;11;3;599;10;609
57;3;12;8;609;92;701
58;3;13;1;793;3;796
59;3;14;12;881;75;956
60;4;0;1;135;36;171
61;4;1;8;171;49;220
62;4;2;4;220;10;230
63;4;3;14;230;43;273
64;4;4;6;273;69;342
65;4;5;5;460;72;532
66;4;6;3;609;19;628
67;4;7;2;628;65;693
68;4;8;9;693;37;730
69;4;9;10;730;57;787
70;4;10;13;787;32;819
71;4;11;7;856;11;867
72;4;12;11;867;73;940
73;4;13;0;969;89;1058
74;4;14;12;1181;12;1193
75;5;0;5;29;83;112
76;5;1;14;198;32;230
77;5;2;2;237;6;243
78;5;3;12;243;13;256
79;5;4;10;286;87;373
80;5;5;1;373;94;467
81;5;6;11;467;36;503
82;5;7;4;543;76;619
83;5;8;6;623;46;669
84;5;9;9;730;30;760
85;5;10;0;760;56;816
86;5;11;13;845;62;907
87;5;12;8;1002;32;1034
88;5;13;3;1034;52;1086
89;5;14;7;1141;72;1213
90;6;0;5;0;29;29
91;6;1;2;109;78;187
92;6;2;0;256;21;277
93;6;3;1;306;27;333
94;6;4;8;333;17;350
95;6;5;14;369;43;412
96;6;6;11;448;14;462
97;6;7;10;462;15;477
98;6;8;7;477;16;493
99;6;9;9;493;49;542
100;6;10;6;759;72;831
101;6;11;12;956;19;975
102;6;12;4;1001;99;1100
103;6;13;13;1110;38;1148
104;6;14;3;1148;64;1212
105;7;0;4;0;12;12
106;7;1;7;69;74;143
107;7;2;10;235;4;239
108;7;3;1;303;3;306
109;7;4;9;306;15;321
110;7;5;8;531;62;593
111;7;6;2;693;50;743
112;7;7;14;743;38;781
113;7;8;11;781;49;830
114;7;9;3;830;25;855
115;7;10;5;855;18;873
116;7;11;6;1050;55;1105
117;7;12;13;1105;5;1110
118;7;13;12;1110;71;1181
119;7;14;0;1181;27;1208
120;8;0;14;0;69;69
121;8;1;11;150;13;163
122;8;2;0;163;33;196
123;8;3;9;242;47;289
124;8;4;10;373;86;459
125;8;5;5;654;31;685
126;8;6;3;703;97;800
127;8;7;12;833;48;881
128;8;8;8;881;25;906
129;8;9;13;907;40;947
130;8;10;6;947;94;1041
131;8;11;1;1041;22;1063
