# instance ta22, makespan 1619, lower bound 1561, best known 1600
# produced by open_backjump_300s run 5; recheck with verify_certificate.py
task;job;operation;machine;start;duration;completion
0;0;0;3;183;94;277
1;0;1;2;277;61;338
2;0;2;19;402;12;414
3;0;3;11;414;68;482
4;0;4;10;482;40;522
5;0;5;13;634;84;718
6;0;6;16;753;30;783
7;0;7;15;783;16;799
8;0;8;1;799;34;833
9;0;9;0;833;92;925
10;0;10;12;925;53;978
11;0;11;17;1032;55;1087
12;0;12;18;1087;61;1148
13;0;13;9;1168;67;1235
14;0;14;5;1235;30;1265
15;0;15;7;1265;88;1353
16;0;16;14;1353;12;1365
17;0;17;4;1374;20;1394
18;0;18;8;1438;16;1454
19;0;19;6;1482;51;1533
20;1;0;14;0;22;22
21;1;1;12;22;75;97
22;1;2;4;139;29;168
23;1;3;17;257;87;344
24;1;4;7;363;47;410
25;1;5;2;410;48;458
26;1;6;10;458;21;479
27;1;7;15;533;46;579
28;1;8;8;579;77;656
29;1;9;9;668;35;703
30;1;10;3;703;10;713
31;1;11;6;713;92;805
32;1;12;16;900;9;909
33;1;13;13;954;75;1029
34;1;14;11;1029;40;1069
35;1;15;1;1069;89;1158
36;1;16;0;1202;86;1288
37;1;17;5;1288;33;1321
38;1;18;19;1321;2;1323
39;1;19;18;1325;1;1326
40;2;0;18;0;32;32
41;2;1;17;105;8;113
42;2;2;0;177;99;276
43;2;3;13;308;14;322
44;2;4;7;322;41;363
45;2;5;1;391;53;444
46;2;6;11;482;97;579
47;2;7;19;583;19;602
48;2;8;5;607;39;646
49;2;9;3;649;20;669
50;2;10;2;669;91;760
51;2;11;16;783;54;837
52;2;12;15;837;97;934
53;2;13;4;951;79;1030
54;2;14;8;1030;21;1051
55;2;15;14;1082;22;1104
56;2;16;9;1304;93;1397
57;2;17;12;1449;67;1516
58;2;18;10;1516;17;1533
59;2;19;6;1533;84;1617
60;3;0;17;0;13;13
61;3;1;10;13;43;56
62;3;2;8;304;97;401
63;3;3;12;401;41;442
64;3;4;5;524;4;528
65;3;5;16;532;35;567
66;3;6;14;623;6;629
67;3;7;11;640;93;733
68;3;8;6;805;32;837
69;3;9;1;837;35;872
70;3;10;9;891;2;893
71;3;11;4;897;54;951
72;3;12;19;951;77;1028
73;3;13;0;1028;9;1037
74;3;14;18;1148;97;1245
75;3;15;15;1314;10;1324
76;3;16;3;1365;45;1410
77;3;17;2;1410;81;1491
78;3;18;13;1491;76;1567
79;3;19;7;1567;37;1604
80;4;0;8;17;26;43
81;4;1;12;109;70;179
82;4;2;1;179;33;212
83;4;3;10;212;58;270
84;4;4;13;270;38;308
85;4;5;15;361;77;438
86;4;6;5;438;86;524
87;4;7;17;524;53;577
88;4;8;9;577;47;624
89;4;9;7;624;20;644
90;4;10;18;644;71;715
91;4;11;3;715;69;784
92;4;12;4;802;95;897
93;4;13;0;928;4;932
94;4;14;2;932;23;955
95;4;15;14;993;89;1082
96;4;16;19;1082;87;1169
97;4;17;11;1169;20;1189
98;4;18;16;1206;67;1273
99;4;19;6;1334;65;1399
100;5;0;6;0;86;86
101;5;1;0;104;73;177
102;5;2;9;177;93;270
103;5;3;16;285;26;311
104;5;4;14;311;98;409
105;5;5;18;409;37;446
106;5;6;17;654;67;721
107;5;7;10;723;87;810
108;5;8;2;814;33;847
109;5;9;13;847;6;853
110;5;10;11;853;68;921
111;5;11;7;921;16;937
112;5;12;19;939;12;951
113;5;13;1;951;5;956
114;5;14;8;956;33;989
115;5;15;3;989;87;1076
116;5;16;4;1115;96;1211
117;5;17;15;1268;46;1314
118;5;18;12;1362;87;1449
119;5;19;5;1449;89;1538
120;6;0;12;0;3;3
121;6;1;1;46;34;80
122;6;2;6;86;2;88
123;6;3;14;88;96;184
124;6;4;11;311;67;378
125;6;5;15;579;37;616
126;6;6;3;616;30;646
127;6;7;10;646;50;696
128;6;8;9;703;84;787
129;6;9;19;787;27;814
130;6;10;5;818;37;855
131;6;11;17;866;89;955
132;6;12;2;955;92;1047
133;6;13;4;1047;68;1115
134;6;14;8;1115;20;1135
135;6;15;18;1245;80;1325
136;6;16;7;1353;76;1429
137;6;17;0;1471;74;1545
138;6;18;13;1567;11;1578
139;6;19;16;1578;38;1616
140;7;0;5;58;60;118
141;7;1;12;179;97;276
142;7;2;19;276;42;318
143;7;3;1;318;73;391
144;7;4;8;401;28;429
145;7;5;13;429;69;498
146;7;6;18;498;90;588
147;7;7;9;624;44;668
148;7;8;10;696;27;723
149;7;9;2;760;54;814
150;7;10;17;842;24;866
151;7;11;3;898;36;934
152;7;12;15;934;82;1016
153;7;13;6;1031;13;1044
154;7;14;16;1044;33;1077
155;7;15;7;1077;80;1157
156;7;16;0;1157;44;1201
157;7;17;4;1211;99;1310
158;7;18;11;1366;80;1446
159;7;19;14;1446;82;1528
160;8;0;2;0;79;79
161;8;1;8;79;62;141
162;8;2;3;152;31;183
163;8;3;10;183;27;210
164;8;4;16;213;72;285
165;8;5;15;438;12;450
166;8;6;0;450;4;454
167;8;7;17;473;4;477
168;8;8;7;553;11;564
169;8;9;13;599;35;634
170;8;10;5;646;83;729
171;8;11;14;729;57;786
172;8;12;12;786;19;805
173;8;13;9;811;80;891
174;8;14;19;919;20;939
175;8;15;6;943;16;959
176;8;16;18;959;96;1055
177;8;17;11;1069;24;1093
178;8;18;4;1310;64;1374
179;8;19;1;1374;93;1467
180;9;0;17;113;61;174
181;9;1;2;174;86;260
182;9;2;7;260;46;306
183;9;3;19;344;58;402
184;9;4;11;402;2;404
185;9;5;16;404;19;423
186;9;6;13;498;46;544
187;9;7;10;544;50;594
188;9;8;15;616;79;695
189;9;9;1;700;84;784
190;9;10;5;804;14;818
191;9;11;6;837;16;853
192;9;12;8;865;76;941
193;9;13;9;1079;89;1168
194;9;14;3;1168;85;1253
195;9;15;12;1253;86;1339
196;9;16;18;1339;60;1399
197;9;17;14;1399;44;1443
198;9;18;0;1443;28;1471
199;9;19;4;1490;63;1553
200;10;0;7;0;10;10
201;10;1;12;276;44;320
202;10;2;8;429;26;455
203;10;3;11;579;61;640
204;10;4;16;661;92;753
205;10;5;15;753;30;783
206;10;6;4;783;19;802
207;10;7;3;871;27;898
208;10;8;14;898;22;920
209;10;9;9;925;86;1011
210;10;10;19;1049;22;1071
211;10;11;2;1077;62;1139
212;10;12;13;1166;75;1241
213;10;13;17;1241;10;1251
214;10;14;6;1256;78;1334
215;10;15;1;1334;3;1337
216;10;16;10;1337;97;1434
217;10;17;18;1434;88;1522
218;10;18;5;1538;10;1548
219;10;19;0;1548;46;1594
220;11;0;4;0;21;21
221;11;1;17;21;51;72
222;11;2;11;72;3;75
223;11;3;16;103;94;197
224;11;4;15;197;82;279
225;11;5;18;279;26;305
226;11;6;14;409;83;492
227;11;7;19;526;57;583
228;11;8;6;583;86;669
229;11;9;7;713;61;774
230;11;10;5;855;80;935
231;11;11;10;961;81;1042
232;11;12;13;1042;25;1067
233;11;13;0;1067;5;1072
234;11;14;3;1079;75;1154
235;11;15;9;1235;38;1273
236;11;16;2;1273;16;1289
237;11;17;8;1289;20;1309
238;11;18;1;1467;50;1517
239;11;19;12;1517;52;1569
240;12;0;8;0;17;17
241;12;1;16;17;86;103
242;12;2;12;103;6;109
243;12;3;2;109;49;158
244;12;4;5;158;74;232
245;12;5;15;279;82;361
246;12;6;10;361;86;447
247;12;7;17;447;26;473
248;12;8;7;473;80;553
249;12;9;13;553;46;599
250;12;10;4;599;94;693
251;12;11;1;693;7;700
252;12;12;0;700;27;727
253;12;13;3;784;26;810
254;12;14;19;814;97;911
255;12;15;9;911;14;925
256;12;16;18;927;27;954
257;12;17;14;954;3;957
258;12;18;11;957;12;969
259;12;19;6;1088;82;1170
260;13;0;1;0;46;46
261;13;1;8;46;21;67
262;13;2;18;67;1;68
263;13;3;11;75;99;174
264;13;4;17;174;83;257
265;13;5;9;270;22;292
266;13;6;10;292;2;294
267;13;7;16;423;42;465
268;13;8;19;465;61;526
269;13;9;5;528;79;607
270;13;10;12;612;17;629
271;13;11;4;693;67;760
272;13;12;3;810;61;871
273;13;13;6;871;72;943
274;13;14;7;990;49;1039
275;13;15;2;1139;91;1230
276;13;16;14;1283;38;1321
277;13;17;0;1321;28;1349
278;13;18;13;1349;34;1383
279;13;19;15;1385;14;1399
280;14;0;13;0;50;50
281;14;1;7;50;49;99
282;14;2;4;99;40;139
283;14;3;0;276;63;339
284;14;4;19;339;5;344
285;14;5;2;458;80;538
286;14;6;14;553;70;623
287;14;7;3;646;3;649
288;14;8;11;737;62;799
289;14;9;17;799;43;842
290;14;10;16;842;58;900
291;14;11;10;900;39;939
292;14;12;1;956;52;1008
293;14;13;9;1011;68;1079
294;14;14;12;1079;71;1150
295;14;15;6;1170;86;1256
296;14;16;15;1324;61;1385
297;14;17;8;1385;53;1438
298;14;18;5;1438;1;1439
299;14;19;18;1522;97;1619
300;15;0;15;0;53;53
301;15;1;0;53;51;104
302;15;2;18;104;25;129
303;15;3;16;197;16;213
304;15;4;8;213;91;304
305;15;5;4;304;93;397
306;15;6;5;397;37;434
307;15;7;14;492;61;553
308;15;8;7;564;41;605
309;15;9;17;605;49;654
310;15;10;1;654;20;674
311;15;11;3;674;24;698
312;15;12;10;810;58;868
313;15;13;19;911;8;919
314;15;14;6;959;72;1031
315;15;15;2;1047;30;1077
316;15;16;13;1151;15;1166
317;15;17;12;1166;86;1252
318;15;18;9;1273;31;1304
319;15;19;11;1304;40;1344
320;16;0;3;80;72;152
321;16;1;11;234;77;311
322;16;2;2;338;34;372
323;16;3;9;372;45;417
324;16;4;15;450;83;533
325;16;5;1;533;85;618
326;16;6;10;618;19;637
327;16;7;7;644;5;649
328;16;8;19;649;77;726
329;16;9;5;729;75;804
330;16;10;8;804;61;865
331;16;11;13;865;89;954
332;16;12;17;955;77;1032
333;16;13;6;1044;44;1088
334;16;14;0;1088;32;1120
335;16;15;16;1120;86;1206
336;16;16;14;1243;40;1283
337;16;17;12;1339;23;1362
338;16;18;18;1399;35;1434
339;16;19;4;1553;57;1610
340;17;0;17;72;33;105
341;17;1;6;143;16;159
342;17;2;11;174;60;234
343;17;3;5;234;70;304
344;17;4;16;465;67;532
345;17;5;4;532;37;569
346;17;6;12;570;42;612
347;17;7;9;787;24;811
348;17;8;18;852;75;927
349;17;9;0;927;1;928
350;17;10;10;939;22;961
351;17;11;14;961;32;993
352;17;12;7;1039;21;1060
353;17;13;3;1076;3;1079
354;17;14;15;1079;69;1148
355;17;15;1;1158;77;1235
356;17;16;8;1235;53;1288
357;17;17;19;1323;64;1387
358;17;18;2;1491;34;1525
359;17;19;13;1578;15;1593
360;18;0;5;0;58;58
361;18;1;6;88;55;143
362;18;2;8;143;68;211
363;18;3;12;320;5;325
364;18;4;2;372;20;392
365;18;5;9;482;88;570
366;18;6;16;570;91;661
367;18;7;13;718;79;797
368;18;8;18;797;55;852
369;18;9;1;872;16;888
370;18;10;7;937;53;990
371;18;11;17;1087;84;1171
372;18;12;0;1201;1;1202
373;18;13;15;1202;66;1268
374;18;14;19;1268;14;1282
375;18;15;3;1282;83;1365
376;18;16;11;1365;1;1366
377;18;17;4;1394;96;1490
378;18;18;14;1528;54;1582
379;18;19;10;1582;30;1612
380;19;0;3;0;80;80
381;19;1;15;80;81;161
382;19;2;10;161;9;170
383;19;3;4;170;49;219
384;19;4;18;219;32;251
385;19;5;1;251;19;270
386;19;6;16;311;92;403
387;19;7;9;417;65;482
388;19;8;12;482;88;570
389;19;9;7;649;64;713
390;19;10;11;733;4;737
391;19;11;0;737;68;805
392;19;12;2;847;79;926
393;19;13;19;1028;21;1049
394;19;14;13;1067;84;1151
395;19;15;14;1151;92;1243
396;19;16;17;1251;66;1317
397;19;17;5;1321;51;1372
398;19;18;6;1399;83;1482
399;19;19;8;1482;96;1578
