# instance ta01, makespan 1231, lower bound 1231, best known 1231
# produced by conf_bj_j1_b10_60s run 3; recheck with verify_certificate.py
task;job;operation;machine;start;duration;completion
0;0;0;6;5;94;99
1;0;1;12;99;66;165
2;0;2;4;215;10;225
3;0;3;7;225;53;278
4;0;4;3;278;26;304
5;0;5;2;385;15;400
6;0;6;10;495;65;560
7;0;7;11;579;82;661
8;0;8;8;677;10;687
9;0;9;14;746;27;773
10;0;10;9;780;93;873
11;0;11;13;873;92;965
12;0;12;5;978;96;1074
13;0;13;0;1074;70;1144
14;0;14;1;1148;83;1231
15;1;0;4;141;74;215
16;1;1;5;239;31;270
17;1;2;7;404;88;492
18;1;3;14;572;51;623
19;1;4;13;629;57;686
20;1;5;8;687;78;765
21;1;6;11;765;8;773
22;1;7;9;773;7;780
23;1;8;6;780;91;871
24;1;9;10;871;79;950
25;1;10;0;957;18;975
26;1;11;3;976;51;1027
27;1;12;12;1029;18;1047
28;1;13;1;1049;99;1148
29;1;14;2;1148;33;1181
30;2;0;1;0;4;4
31;2;1;8;284;82;366
32;2;2;9;366;40;406
33;2;3;12;444;86;530
34;2;4;6;628;50;678
35;2;5;11;678;54;732
36;2;6;13;736;21;757
37;2;7;5;758;6;764
38;2;8;0;764;54;818
39;2;9;2;821;68;889
40;2;10;7;889;82;971
41;2;11;10;974;20;994
42;2;12;4;994;39;1033
43;2;13;3;1033;35;1068
44;2;14;14;1068;68;1136
45;3;0;5;84;73;157
46;3;1;2;181;23;204
47;3;2;9;204;30;234
48;3;3;6;234;30;264
49;3;4;10;264;53;317
50;3;5;0;322;94;416
51;3;6;13;434;58;492
52;3;7;4;492;93;585
53;3;8;7;585;32;617
54;3;9;14;623;91;714
55;3;10;11;732;30;762
56;3;11;8;765;56;821
57;3;12;12;821;27;848
58;3;13;1;957;92;1049
59;3;14;3;1068;9;1077
60;4;0;7;0;78;78
61;4;1;8;78;23;101
62;4;2;6;101;21;122
63;4;3;10;142;60;202
64;4;4;4;225;36;261
65;4;5;9;261;29;290
66;4;6;2;290;95;385
67;4;7;14;408;99;507
68;4;8;12;530;79;609
69;4;9;5;609;76;685
70;4;10;1;697;93;790
71;4;11;13;790;42;832
72;4;12;11;963;52;1015
73;4;13;0;1015;42;1057
74;4;14;3;1077;96;1173
75;5;0;5;0;29;29
76;5;1;3;93;61;154
77;5;2;12;276;88;364
78;5;3;13;364;70;434
79;5;4;11;434;16;450
80;5;5;4;450;31;481
81;5;6;14;507;65;572
82;5;7;7;617;83;700
83;5;8;2;700;78;778
84;5;9;1;790;26;816
85;5;10;10;820;50;870
86;5;11;0;870;87;957
87;5;12;9;1084;62;1146
88;5;13;6;1146;14;1160
89;5;14;8;1160;30;1190
90;6;0;12;0;18;18
91;6;1;3;18;75;93
92;6;2;7;93;20;113
93;6;3;8;113;4;117
94;6;4;14;117;91;208
95;6;5;6;438;68;506
96;6;6;1;506;19;525
97;6;7;11;525;54;579
98;6;8;4;594;85;679
99;6;9;5;685;73;758
100;6;10;2;778;43;821
101;6;11;10;950;24;974
102;6;12;0;975;37;1012
103;6;13;13;1012;87;1099
104;6;14;9;1146;66;1212
105;7;0;11;0;32;32
106;7;1;5;32;52;84
107;7;2;0;84;9;93
108;7;3;7;113;49;162
109;7;4;12;165;61;226
110;7;5;13;226;35;261
111;7;6;14;309;99;408
112;7;7;1;435;62;497
113;7;8;2;519;6;525
114;7;9;8;525;62;587
115;7;10;4;587;7;594
116;7;11;3;594;80;674
117;7;12;9;674;3;677
118;7;13;6;678;57;735
119;7;14;10;735;7;742
120;8;0;10;0;85;85
121;8;1;11;91;30;121
122;8;2;6;122;96;218
123;8;3;14;218;91;309
124;8;4;0;309;13;322
125;8;5;1;322;87;409
126;8;6;2;437;82;519
127;8;7;5;519;83;602
128;8;8;12;672;78;750
129;8;9;4;816;56;872
130;8;10;8;872;85;957
131;8;11;7;971;8;979
132;8;12;9;998;66;1064
133;8;13;13;1099;88;1187
134;8;14;3;1187;15;1202
135;9;0;6;0;5;5
136;9;1;11;32;59;91
137;9;2;9;91;30;121
138;9;3;2;121;60;181
139;9;4;8;181;41;222
140;9;5;0;225;17;242
141;9;6;13;261;66;327
142;9;7;3;327;89;416
143;9;8;10;417;78;495
144;9;9;7;495;88;583
145;9;10;1;583;69;652
146;9;11;12;750;45;795
147;9;12;14;846;82;928
148;9;13;4;959;6;965
149;9;14;5;965;13;978
150;10;0;4;0;90;90
151;10;1;7;162;27;189
152;10;2;13;216;1;217
153;10;3;0;217;8;225
154;10;4;5;270;91;361
155;10;5;12;364;80;444
156;10;6;6;539;89;628
157;10;7;8;628;49;677
158;10;8;14;714;32;746
159;10;9;10;746;28;774
160;10;10;3;774;90;864
161;10;11;1;864;93;957
162;10;12;11;957;6;963
163;10;13;9;963;35;998
164;10;14;2;1043;73;1116
165;11;0;2;0;47;47
166;11;1;14;49;43;92
167;11;2;0;93;75;168
168;11;3;12;226;8;234
169;11;4;6;264;51;315
170;11;5;10;317;3;320
171;11;6;7;320;84;404
172;11;7;5;404;34;438
173;11;8;8;438;28;466
174;11;9;9;497;60;557
175;11;10;13;560;69;629
176;11;11;1;652;45;697
177;11;12;3;697;67;764
178;11;13;11;790;58;848
179;11;14;4;872;87;959
180;12;0;5;157;65;222
181;12;1;8;222;62;284
182;12;2;10;320;97;417
183;12;3;2;417;20;437
184;12;4;3;437;31;468
185;12;5;6;506;33;539
186;12;6;9;557;33;590
187;12;7;0;590;77;667
188;12;8;13;686;50;736
189;12;9;4;736;80;816
190;12;10;1;816;48;864
191;12;11;11;864;90;954
192;12;12;12;954;75;1029
193;12;13;7;1029;96;1125
194;12;14;14;1136;44;1180
195;13;0;8;0;28;28
196;13;1;14;28;21;49
197;13;2;4;90;51;141
198;13;3;13;141;75;216
199;13;4;5;222;17;239
200;13;5;6;349;89;438
201;13;6;9;438;59;497
202;13;7;1;525;56;581
203;13;8;12;609;63;672
204;13;9;7;700;18;718
205;13;10;11;773;17;790
206;13;11;10;790;30;820
207;13;12;3;960;16;976
208;13;13;2;1116;7;1123
209;13;14;0;1144;35;1179
210;14;0;10;85;57;142
211;14;1;8;142;16;158
212;14;2;12;234;42;276
213;14;3;6;315;34;349
214;14;4;4;349;37;386
215;14;5;1;409;26;435
216;14;6;13;492;68;560
217;14;7;14;773;73;846
218;14;8;11;848;5;853
219;14;9;0;853;8;861
220;14;10;7;861;12;873
221;14;11;3;873;87;960
222;14;12;2;960;83;1043
223;14;13;9;1064;20;1084
224;14;14;5;1084;97;1181
