# instance ta40, makespan 1703, lower bound 1651, best known 1669
# produced by open_baseline_300s run 3; recheck with verify_certificate.py
task;job;operation;machine;start;duration;completion
0;0;0;5;247;76;323
1;0;1;11;346;4;350
2;0;2;1;405;98;503
3;0;3;9;503;1;504
4;0;4;6;504;51;555
5;0;5;4;571;92;663
6;0;6;13;763;75;838
7;0;7;3;844;47;891
8;0;8;7;901;35;936
9;0;9;10;1205;70;1275
10;0;10;12;1281;21;1302
11;0;11;14;1322;20;1342
12;0;12;2;1346;79;1425
13;0;13;8;1487;81;1568
14;0;14;0;1583;63;1646
15;1;0;11;0;71;71
16;1;1;8;71;85;156
17;1;2;4;175;3;178
18;1;3;9;178;45;223
19;1;4;1;231;13;244
20;1;5;2;515;57;572
21;1;6;12;640;26;666
22;1;7;5;995;63;1058
23;1;8;10;1075;38;1113
24;1;9;13;1184;91;1275
25;1;10;6;1275;73;1348
26;1;11;7;1353;59;1412
27;1;12;14;1421;74;1495
28;1;13;0;1508;37;1545
29;1;14;3;1566;65;1631
30;2;0;9;0;60;60
31;2;1;2;213;74;287
32;2;2;0;473;35;508
33;2;3;13;598;73;671
34;2;4;10;745;49;794
35;2;5;6;794;1;795
36;2;6;11;815;92;907
37;2;7;3;982;5;987
38;2;8;8;1039;41;1080
39;2;9;14;1118;2;1120
40;2;10;12;1140;95;1235
41;2;11;5;1240;28;1268
42;2;12;7;1274;37;1311
43;2;13;4;1340;78;1418
44;2;14;1;1418;86;1504
45;3;0;12;186;95;281
46;3;1;1;518;73;591
47;3;2;13;682;23;705
48;3;3;5;705;77;782
49;3;4;14;782;47;829
50;3;5;0;873;24;897
51;3;6;8;897;29;926
52;3;7;11;926;88;1014
53;3;8;7;1026;69;1095
54;3;9;3;1138;49;1187
55;3;10;4;1241;28;1269
56;3;11;6;1348;66;1414
57;3;12;2;1491;4;1495
58;3;13;10;1495;41;1536
59;3;14;9;1577;3;1580
60;4;0;5;219;28;247
61;4;1;10;285;26;311
62;4;2;12;475;71;546
63;4;3;8;588;81;669
64;4;4;7;676;36;712
65;4;5;2;825;96;921
66;4;6;14;926;95;1021
67;4;7;9;1021;45;1066
68;4;8;13;1275;10;1285
69;4;9;4;1285;55;1340
70;4;10;11;1356;87;1443
71;4;11;0;1443;65;1508
72;4;12;6;1512;54;1566
73;4;13;1;1601;26;1627
74;4;14;3;1631;60;1691
75;5;0;4;106;40;146
76;5;1;11;165;36;201
77;5;2;2;303;5;308
78;5;3;14;310;78;388
79;5;4;12;395;63;458
80;5;5;5;499;96;595
81;5;6;10;666;25;691
82;5;7;8;695;86;781
83;5;8;1;781;85;866
84;5;9;6;870;56;926
85;5;10;9;948;25;973
86;5;11;0;1074;30;1104
87;5;12;13;1339;98;1437
88;5;13;3;1468;78;1546
89;5;14;7;1612;41;1653
90;6;0;2;0;90;90
91;6;1;3;90;15;105
92;6;2;0;162;89;251
93;6;3;6;251;87;338
94;6;4;14;388;52;440
95;6;5;11;449;59;508
96;6;6;7;514;22;536
97;6;7;5;647;42;689
98;6;8;4;693;46;739
99;6;9;12;739;60;799
100;6;10;13;1285;54;1339
101;6;11;8;1340;87;1427
102;6;12;9;1427;22;1449
103;6;13;1;1504;97;1601
104;6;14;10;1601;1;1602
105;7;0;14;61;51;112
106;7;1;5;144;75;219
107;7;2;6;219;2;221
108;7;3;8;221;86;307
109;7;4;9;360;19;379
110;7;5;10;915;88;1003
111;7;6;1;1071;20;1091
112;7;7;2;1091;88;1179
113;7;8;4;1217;24;1241
114;7;9;7;1311;42;1353
115;7;10;11;1453;90;1543
116;7;11;3;1546;20;1566
117;7;12;13;1578;29;1607
118;7;13;12;1611;20;1631
119;7;14;0;1646;50;1696
120;8;0;13;0;11;11
121;8;1;2;322;96;418
122;8;2;10;433;92;525
123;8;3;0;583;94;677
124;8;4;6;677;78;755
125;8;5;9;774;63;837
126;8;6;8;849;44;893
127;8;7;7;893;8;901
128;8;8;4;933;68;1001
129;8;9;14;1041;77;1118
130;8;10;5;1118;52;1170
131;8;11;1;1182;74;1256
132;8;12;3;1309;43;1352
133;8;13;11;1443;10;1453
134;8;14;12;1524;87;1611
135;9;0;6;0;75;75
136;9;1;1;153;78;231
137;9;2;14;260;27;287
138;9;3;10;311;27;338
139;9;4;7;353;82;435
140;9;5;2;695;91;786
141;9;6;4;845;88;933
142;9;7;11;1014;76;1090
143;9;8;0;1104;37;1141
144;9;9;13;1141;43;1184
145;9;10;9;1184;52;1236
146;9;11;8;1240;71;1311
147;9;12;3;1352;45;1397
148;9;13;5;1405;99;1504
149;9;14;12;1631;70;1701
150;10;0;4;0;47;47
151;10;1;6;75;8;83
152;10;2;7;83;99;182
153;10;3;13;236;85;321
154;10;4;11;508;11;519
155;10;5;8;572;16;588
156;10;6;10;642;24;666
157;10;7;5;689;10;699
158;10;8;3;703;10;713
159;10;9;0;713;12;725
160;10;10;9;737;37;774
161;10;11;2;786;39;825
162;10;12;14;829;38;867
163;10;13;12;980;76;1056
164;10;14;1;1091;91;1182
165;11;0;5;0;62;62
166;11;1;13;81;98;179
167;11;2;9;223;68;291
168;11;3;2;308;14;322
169;11;4;0;416;57;473
170;11;5;12;473;2;475
171;11;6;14;490;52;542
172;11;7;7;542;36;578
173;11;8;1;591;58;649
174;11;9;10;691;54;745
175;11;10;3;745;99;844
176;11;11;6;983;57;1040
177;11;12;11;1090;52;1142
178;11;13;8;1150;90;1240
179;11;14;4;1418;58;1476
180;12;0;12;342;53;395
181;12;1;6;395;6;401
182;12;2;2;450;65;515
183;12;3;0;515;68;583
184;12;4;10;584;53;637
185;12;5;3;637;66;703
186;12;6;11;751;15;766
187;12;7;4;1134;83;1217
188;12;8;14;1220;80;1300
189;12;9;5;1332;73;1405
190;12;10;7;1412;86;1498
191;12;11;9;1498;57;1555
192;12;12;13;1555;23;1578
193;12;13;8;1578;88;1666
194;12;14;1;1666;37;1703
195;13;0;3;0;73;73
196;13;1;12;121;65;186
197;13;2;4;186;54;240
198;13;3;10;338;95;433
199;13;4;8;433;12;445
200;13;5;7;445;69;514
201;13;6;5;643;4;647
202;13;7;1;649;7;656
203;13;8;6;656;12;668
204;13;9;11;1142;82;1224
205;13;10;9;1236;5;1241
206;13;11;14;1300;22;1322
207;13;12;13;1497;15;1512
208;13;13;2;1512;2;1514
209;13;14;0;1545;38;1583
210;14;0;10;525;59;584
211;14;1;6;584;49;633
212;14;2;11;722;29;751
213;14;3;5;782;69;851
214;14;4;13;905;79;984
215;14;5;3;987;57;1044
216;14;6;1;1044;27;1071
217;14;7;12;1078;62;1140
218;14;8;0;1141;57;1198
219;14;9;14;1198;22;1220
220;14;10;8;1311;29;1340
221;14;11;2;1425;42;1467
222;14;12;7;1498;59;1557
223;14;13;9;1557;20;1577
224;14;14;4;1577;86;1663
225;15;0;10;14;81;95
226;15;1;13;212;24;236
227;15;2;1;350;55;405
228;15;3;4;476;95;571
229;15;4;11;637;2;639
230;15;5;5;851;94;945
231;15;6;6;945;38;983
232;15;7;7;983;43;1026
233;15;8;14;1026;15;1041
234;15;9;3;1044;52;1096
235;15;10;8;1096;54;1150
236;15;11;2;1179;66;1245
237;15;12;0;1291;64;1355
238;15;13;12;1355;24;1379
239;15;14;9;1379;29;1408
240;16;0;2;111;20;131
241;16;1;6;131;25;156
242;16;2;5;323;70;393
243;16;3;13;404;6;410
244;16;4;4;473;3;476
245;16;5;10;637;5;642
246;16;6;14;642;73;715
247;16;7;7;715;25;740
248;16;8;0;740;58;798
249;16;9;8;813;36;849
250;16;10;3;891;91;982
251;16;11;12;1056;22;1078
252;16;12;11;1241;61;1302
253;16;13;9;1302;38;1340
254;16;14;1;1373;33;1406
255;17;0;14;0;61;61
256;17;1;13;61;20;81
257;17;2;2;90;21;111
258;17;3;1;131;22;153
259;17;4;4;153;22;175
260;17;5;9;291;69;360
261;17;6;11;539;98;637
262;17;7;0;677;12;689
263;17;8;3;713;30;743
264;17;9;12;799;98;897
265;17;10;8;926;28;954
266;17;11;7;962;8;970
