# instance ta07, makespan 1228, lower bound 1227, best known 1227
# produced by baseline_quick run 1; recheck with verify_certificate.py
task;job;operation;machine;start;duration;completion
0;0;0;13;59;52;111
1;0;1;12;142;19;161
2;0;2;7;161;6;167
3;0;3;0;167;20;187
4;0;4;5;187;1;188
5;0;5;11;209;26;235
6;0;6;9;262;90;352
7;0;7;10;466;44;510
8;0;8;1;645;27;672
9;0;9;2;684;18;702
10;0;10;3;721;51;772
11;0;11;14;772;80;852
12;0;12;4;852;10;862
13;0;13;6;862;51;913
14;0;14;8;1060;41;1101
15;1;0;2;119;44;163
16;1;1;1;200;85;285
17;1;2;8;318;2;320
18;1;3;14;320;78;398
19;1;4;13;398;86;484
20;1;5;0;484;88;572
21;1;6;5;607;61;668
22;1;7;11;668;20;688
23;1;8;9;688;56;744
24;1;9;12;744;12;756
25;1;10;10;756;69;825
26;1;11;7;884;34;918
27;1;12;3;934;55;989
28;1;13;4;992;34;1026
29;1;14;6;1125;84;1209
30;2;0;0;0;62;62
31;2;1;3;62;72;134
32;2;2;1;285;74;359
33;2;3;7;359;63;422
34;2;4;4;422;95;517
35;2;5;8;517;29;546
36;2;6;14;549;24;573
37;2;7;5;573;34;607
38;2;8;6;656;89;745
39;2;9;2;745;83;828
40;2;10;13;909;90;999
41;2;11;12;999;26;1025
42;2;12;9;1025;98;1123
43;2;13;10;1129;65;1194
44;2;14;11;1194;31;1225
45;3;0;9;28;10;38
46;3;1;11;38;15;53
47;3;2;0;310;93;403
48;3;3;7;514;79;593
49;3;4;12;613;77;690
50;3;5;14;690;61;751
51;3;6;6;751;1;752
52;3;7;1;752;48;800
53;3;8;13;800;22;822
54;3;9;10;873;27;900
55;3;10;4;951;21;972
56;3;11;5;972;17;989
57;3;12;3;1006;45;1051
58;3;13;2;1069;96;1165
59;3;14;8;1165;11;1176
60;4;0;8;159;83;242
61;4;1;13;242;52;294
62;4;2;5;294;70;364
63;4;3;10;388;78;466
64;4;4;9;466;7;473
65;4;5;14;473;28;501
66;4;6;12;516;97;613
67;4;7;2;632;52;684
68;4;8;3;692;29;721
69;4;9;0;721;81;802
70;4;10;6;802;60;862
71;4;11;11;864;91;955
72;4;12;7;955;80;1035
73;4;13;4;1035;54;1089
74;4;14;1;1089;35;1124
75;5;0;12;25;3;28
76;5;1;13;28;31;59
77;5;2;14;59;98;157
78;5;3;9;165;97;262
79;5;4;5;364;77;441
80;5;5;1;492;39;531
81;5;6;6;531;41;572
82;5;7;7;609;10;619
83;5;8;0;685;9;694
84;5;9;3;772;93;865
85;5;10;8;893;7;900
86;5;11;10;900;49;949
87;5;12;4;972;20;992
88;5;13;11;1063;45;1108
89;5;14;2;1165;59;1224
90;6;0;9;0;28;28
91;6;1;0;62;93;155
92;6;2;5;155;4;159
93;6;3;4;159;51;210
94;6;4;12;210;67;277
95;6;5;14;277;5;282
