# instance ta41, makespan 2086, lower bound 1906, best known 2005
# produced by open_backjump_300s run 2; recheck with verify_certificate.py
task;job;operation;machine;start;duration;completion
0;0;0;5;0;59;59
1;0;1;13;130;72;202
2;0;2;3;506;92;598
3;0;3;15;620;35;655
4;0;4;19;723;17;740
5;0;5;9;868;48;916
6;0;6;10;916;57;973
7;0;7;6;980;18;998
8;0;8;12;1049;55;1104
9;0;9;4;1176;51;1227
10;0;10;2;1227;8;1235
11;0;11;14;1267;68;1335
12;0;12;8;1484;90;1574
13;0;13;7;1607;39;1646
14;0;14;16;1647;79;1726
15;0;15;11;1726;40;1766
16;0;16;0;1781;66;1847
17;0;17;17;1868;55;1923
18;0;18;18;1923;62;1985
19;0;19;1;2003;66;2069
20;1;0;13;0;42;42
21;1;1;2;58;60;118
22;1;2;15;118;52;170
23;1;3;12;170;14;184
24;1;4;4;247;83;330
25;1;5;9;647;95;742
26;1;6;3;742;36;778
27;1;7;7;778;28;806
28;1;8;5;806;4;810
29;1;9;0;814;31;845
30;1;10;8;845;14;859
31;1;11;14;859;23;882
32;1;12;6;909;71;980
33;1;13;19;1009;95;1104
34;1;14;1;1104;69;1173
35;1;15;10;1173;17;1190
36;1;16;18;1290;13;1303
37;1;17;17;1303;23;1326
38;1;18;16;1328;78;1406
39;1;19;11;1416;51;1467
40;2;0;8;27;93;120
41;2;1;5;210;12;222
42;2;2;2;371;34;405
43;2;3;18;405;32;437
44;2;4;17;610;59;669
45;2;5;14;695;73;768
46;2;6;0;768;46;814
47;2;7;4;838;25;863
48;2;8;11;884;82;966
49;2;9;3;1006;90;1096
50;2;10;16;1096;70;1166
51;2;11;7;1204;27;1231
52;2;12;6;1239;82;1321
53;2;13;1;1349;85;1434
54;2;14;12;1468;40;1508
55;2;15;15;1523;35;1558
56;2;16;10;1667;61;1728
57;2;17;19;1728;92;1820
58;2;18;13;1820;98;1918
59;2;19;9;1918;53;1971
60;3;0;13;99;31;130
61;3;1;8;130;95;225
62;3;2;0;225;36;261
63;3;3;11;262;61;323
64;3;4;3;414;92;506
65;3;5;14;506;24;530
66;3;6;7;530;70;600
67;3;7;4;663;15;678
68;3;8;18;678;76;754
69;3;9;6;754;50;804
70;3;10;19;815;18;833
71;3;11;5;870;30;900
72;3;12;2;1129;93;1222
73;3;13;9;1222;62;1284
74;3;14;10;1311;83;1394
75;3;15;15;1401;16;1417
76;3;16;17;1417;75;1492
77;3;17;1;1595;29;1624
78;3;18;12;1624;35;1659
79;3;19;16;1797;31;1828
80;4;0;8;0;27;27
81;4;1;6;31;10;41
82;4;2;2;156;93;249
